School / Department,Programme,Level,Type
School of Engineering & Technology ,B.Tech. in Computer Science and Engineering,UG,Regular
School of Engineering & Technology,B.Tech. in CSE (Artificial Intelligence),UG,Regular
School of Engineering & Technology,B.Tech. in Electronics and Communication Engineering,UG,Regular
School of Engineering & Technology,B.Tech. in Chemical Engineering,UG,Regular
School of Engineering & Technology,B.Tech. in Mechanical Engineering,UG,Regular
School of Engineering & Technology,B.Tech. in Materials Science and Metallurgical Engineering,UG,Regular
School of Engineering & Technology,B.Tech. in Chemical Engineering (Lateral Entry),UG,Lateral Entry
School of Engineering & Technology,B.Tech. in ECE (Lateral Entry),UG,Lateral Entry
School of Engineering & Technology,B.Tech. in Mechanical Engineering (Lateral Entry),UG,Lateral Entry
School of Engineering & Technology,B.Tech. in Materials Science & Metallurgy (Lateral Entry),UG,Lateral Entry
School of Engineering & Technology,M.Tech. in Computer Science and Engineering,PG,Regular
School of Engineering & Technology,M.Tech. in Electronics and Communication Engineering,PG,Regular
School of Engineering & Technology,M.Tech. in NanoScience and NanoTechnology,PG,Regular
School of Engineering & Technology,BCA,UG,Regular
School of Engineering & Technology,MCA,PG,Regular
School of Engineering & Technology,Integrated M.Sc. Electronics (VLSI & IoT),UG+PG,Integrated
School of Engineering & Technology,B.Voc (Interior Design),UG,Regular
School of Engineering & Technology,Bachelor of Design (B.Des.),UG,Regular
School of Engineering & Technology,Diploma in Fashion Technology,Diploma,Regular
School of Engineering & Technology,Diploma in Chemical Engineering,Diploma,Regular
School of Engineering & Technology,Diploma in Electrical Engineering,Diploma,Regular
School of Engineering & Technology,Diploma in Mechanical Engineering,Diploma,Regular
School of Engineering & Technology,Diploma in Metallurgy and Material Technology,Diploma,Regular
School of Life Sciences & Biotechnology,B.Sc (Hons.) Biotechnology,UG,Regular
School of Life Sciences & Biotechnology,B.Sc (Hons.) Biological Sciences,UG,Regular
School of Life Sciences & Biotechnology,B.Sc.-M.Sc. Integrated Biotechnology,UG+PG,Integrated
School of Life Sciences & Biotechnology,M.Sc. Life Sciences,PG,Regular
School of Life Sciences & Biotechnology,M.Sc. Biotechnology,PG,Regular
School of Life Sciences & Biotechnology,M.Sc. Microbiology,PG,Regular
School of Life Sciences & Biotechnology,M.Sc. Biochemistry,PG,Regular
School of Life Sciences & Biotechnology,M.Sc. Forensic Science (New),PG,New
School of Basic Sciences,B.Sc. (Hons.) Physics,UG,Regular
School of Basic Sciences,B.Sc. (Hons.) Chemistry,UG,Regular
School of Basic Sciences,B.Sc. (Hons.) Mathematics,UG,Regular
School of Basic Sciences,B.Sc. (Combination) / B.Sc. Honours / B.Sc. Honours with Research,UG,Regular
School of Basic Sciences,M.Sc. Physics,PG,Regular
School of Basic Sciences,M.Sc. Chemistry,PG,Regular
School of Basic Sciences,M.Sc. Industrial Chemistry,PG,Regular
School of Basic Sciences,M.Sc. Mathematics,PG,Regular
School of Basic Sciences,M.Sc. Mathematics with AI and Data Science (New),PG,New
School of Basic Sciences,M.Sc. Chemistry  Fragrance & Flavour Chemistry (New),PG,New
School of Basic Sciences,M.Sc. Environmental Science and Technology,PG,Regular
School of Basic Sciences,M.Sc. Environment Science  Sustainability and Governance (New),PG,New
School of Basic Sciences,MA Geography,PG,Regular
School of Basic Sciences,M.Sc. Geography with GIS and Remote Sensing,PG,Regular
School of Basic Sciences,Certificate course in Vedic Mathematics,Certificate,Regular
School of Health Sciences,Bachelor of Physiotherapy (BPT),UG,Regular
School of Health Sciences,B.Sc. in Medical Laboratory Technology (B.Sc. MLT),UG,Regular
School of Health Sciences,Bachelor of Optometry (B.Optom.),UG,Regular
School of Health Sciences,Bachelor in Medical Radiology & Imaging Technology (BMRIT),UG,Regular
School of Health Sciences,B.Sc. in Medical Microbiology (B.Sc. MM),UG,Regular
School of Health Sciences,B.Sc. in Human Nutrition (B.Sc. HN),UG,Regular
School of Health Sciences,Bachelor in Operation Theatre Technology (BOTT) (New),UG,New
